steps,date,interval
00,2012-10-01,2210,weekday
00,2012-10-01,2215,weekday
00,2012-10-01,2220,weekday
00,2012-10-01,2225,weekday
00,2012-10-01,2230,weekday
00,2012-10-01,2235,weekday
00,2012-10-01,2240,weekday
00,2012-10-01,2245,weekday
00,2012-10-01,2250,weekday
00,2012-10-01,2255,weekday
00,2012-10-01,2300,weekday
00,2012-10-01,2305,weekday
00,2012-10-01,2310,weekday
00,2012-10-01,2315,weekday
00,2012-10-01,2320,weekday
00,2012-10-01,2325,weekday
00,2012-10-01,2330,weekday
00,2012-10-01,2335,weekday
00,2012-10-01,2340,weekday
00,2012-10-01,2345,weekday
00,2012-10-01,2350,weekday
00,2012-10-01,2355,weekday
00,2012-10-02,0,weekday
00,2012-10-02,5,weekday
00,2012-10-02,10,weekday
00,2012-10-02,15,weekday
00,2012-10-02,20,weekday
00,2012-10-02,25,weekday
00,2012-10-02,30,weekday
00,2012-10-02,35,weekday
00,2012-10-02,40,weekday
00,2012-10-02,45,weekday
00,2012-10-02,50,weekday
00,2012-10-02,55,weekday
00,2012-10-02,100,weekday
00,2012-10-02,105,weekday
00,2012-10-02,110,weekday
00,2012-10-02,115,weekday
00,2012-10-02,120,weekday
00,2012-10-02,125,weekday
00,2012-10-02,130,weekday
00,2012-10-02,135,weekday
00,2012-10-02,140,weekday
00,2012-10-02,145,weekday
00,2012-10-02,150,weekday
00,2012-10-02,155,weekday
00,2012-10-02,200,weekday
00,2012-10-02,205,weekday
00,2012-10-02,210,weekday
00,2012-10-02,215,weekday
00,2012-10-02,220,weekday
00,2012-10-02,225,weekday
00,2012-10-02,230,weekday
00,2012-10-02,235,weekday
00,2012-10-02,240,weekday
00,2012-10-02,245,weekday
00,2012-10-02,250,weekday
00,2012-10-02,255,weekday
00,2012-10-02,300,weekday
00,2012-10-02,305,weekday
00,2012-10-02,310,weekday
00,2012-10-02,315,weekday
00,2012-10-02,320,weekday
00,2012-10-02,325,weekday
00,2012-10-02,330,weekday
00,2012-10-02,335,weekday
00,2012-10-02,340,weekday
00,2012-10-02,345,weekday
00,2012-10-02,350,weekday
00,2012-10-02,355,weekday
00,2012-10-02,400,weekday
00,2012-10-02,405,weekday
00,2012-10-02,410,weekday
00,2012-10-02,415,weekday
00,2012-10-02,420,weekday
00,2012-10-02,425,weekday
00,2012-10-02,430,weekday
00,2012-10-02,435,weekday
00,2012-10-02,440,weekday
00,2012-10-02,445,weekday
00,2012-10-02,450,weekday
00,2012-10-02,455,weekday
00,2012-10-02,500,weekday
00,2012-10-02,505,weekday
00,2012-10-02,510,weekday
00,2012-10-02,515,weekday
00,2012-10-02,520,weekday
00,2012-10-02,525,weekday
00,2012-10-02,530,weekday
00,2012-10-02,535,weekday
00,2012-10-02,540,weekday
00,2012-10-02,545,weekday
00,2012-10-02,550,weekday
00,2012-10-02,555,weekday
00,2012-10-02,600,weekday
00,2012-10-02,605,weekday
00,2012-10-02,610,weekday
00,2012-10-02,615,weekday
00,2012-10-02,620,weekday
00,2012-10-02,625,weekday
00,2012-10-02,630,weekday
00,2012-10-02,635,weekday
00,2012-10-02,640,weekday
00,2012-10-02,645,weekday
00,2012-10-02,650,weekday
00,2012-10-02,655,weekday
00,2012-10-02,700,weekday
00,2012-10-02,705,weekday
00,2012-10-02,710,weekday
00,2012-10-02,715,weekday
00,2012-10-02,720,weekday
00,2012-10-02,725,weekday
00,2012-10-02,730,weekday
00,2012-10-02,735,weekday
00,2012-10-02,740,weekday
00,2012-10-02,745,weekday
00,2012-10-02,750,weekday
00,2012-10-02,755,weekday
00,2012-10-02,800,weekday
00,2012-10-02,805,weekday
00,2012-10-02,810,weekday
00,2012-10-02,815,weekday
00,2012-10-02,820,weekday
00,2012-10-02,825,weekday
00,2012-10-02,830,weekday
00,2012-10-02,835,weekday
00,2012-10-02,840,weekday
00,2012-10-02,845,weekday
00,2012-10-02,850,weekday
00,2012-10-02,855,weekday
00,2012-10-02,900,weekday
00,2012-10-02,905,weekday
00,2012-10-02,910,weekday
00,2012-10-02,915,weekday
00,2012-10-02,920,weekday
00,2012-10-02,925,weekday
00,2012-10-02,930,weekday
00,2012-10-02,935,weekday
00,2012-10-02,940,weekday
00,2012-10-02,945,weekday
00,2012-10-02,950,weekday
00,2012-10-02,955,weekday
00,2012-10-02,1000,weekday
00,2012-10-02,1005,weekday
00,2012-10-02,1010,weekday
00,2012-10-02,1015,weekday
00,2012-10-02,1020,weekday
00,2012-10-02,1025,weekday
00,2012-10-02,1030,weekday
00,2012-10-02,1035,weekday
00,2012-10-02,1040,weekday
00,2012-10-02,1045,weekday
00,2012-10-02,1050,weekday
00,2012-10-02,1055,weekday
00,2012-10-02,1100,weekday
00,2012-10-02,1105,weekday
00,2012-10-02,1110,weekday
00,2012-10-02,1115,weekday
00,2012-10-02,1120,weekday
00,2012-10-02,1125,weekday
00,2012-10-02,1130,weekday
00,2012-10-02,1135,weekday
00,2012-10-02,1140,weekday
00,2012-10-02,1145,weekday
00,2012-10-02,1150,weekday
00,2012-10-02,1155,weekday
00,2012-10-02,1200,weekday
00,2012-10-02,1205,weekday
00,2012-10-02,1210,weekday
00,2012-10-02,1215,weekday
00,2012-10-02,1220,weekday
00,2012-10-02,1225,weekday
00,2012-10-02,1230,weekday
00,2012-10-02,1235,weekday
00,2012-10-02,1240,weekday
00,2012-10-02,1245,weekday
00,2012-10-02,1250,weekday
00,2012-10-02,1255,weekday
00,2012-10-02,1300,weekday
00,2012-10-02,1305,weekday
00,2012-10-02,1310,weekday
00,2012-10-02,1315,weekday
00,2012-10-02,1320,weekday
00,2012-10-02,1325,weekday
00,2012-10-02,1330,weekday
00,2012-10-02,1335,weekday
00,2012-10-02,1340,weekday
00,2012-10-02,1345,weekday
00,2012-10-02,1350,weekday
00,2012-10-02,1355,weekday
00,2012-10-02,1400,weekday
00,2012-10-02,1405,weekday
00,2012-10-02,1410,weekday
00,2012-10-02,1415,weekday
00,2012-10-02,1420,weekday
00,2012-10-02,1425,weekday
00,2012-10-02,1430,weekday
00,2012-10-02,1435,weekday
00,2012-10-02,1440,weekday
00,2012-10-02,1445,weekday
00,2012-10-02,1450,weekday
00,2012-10-02,1455,weekday
00,2012-10-02,1500,weekday
00,2012-10-02,1505,weekday
00,2012-10-02,1510,weekday
00,2012-10-02,1515,weekday
00,2012-10-02,1520,weekday
00,2012-10-02,1525,weekday
00,2012-10-02,1530,weekday
00,2012-10-02,1535,weekday
00,2012-10-02,1540,weekday
00,2012-10-02,1545,weekday
00,2012-10-02,1550,weekday
00,2012-10-02,1555,weekday
00,2012-10-02,1600,weekday
00,2012-10-02,1605,weekday
00,2012-10-02,1610,weekday
00,2012-10-02,1615,weekday
00,2012-10-02,1620,weekday
00,2012-10-02,1625,weekday
00,2012-10-02,1630,weekday
00,2012-10-02,1635,weekday
00,2012-10-02,1640,weekday
00,2012-10-02,1645,weekday
00,2012-10-02,1650,weekday
00,2012-10-02,1655,weekday
00,2012-10-02,1700,weekday
00,2012-10-02,1705,weekday
00,2012-10-02,1710,weekday
00,2012-10-02,1715,weekday
00,2012-10-02,1720,weekday
00,2012-10-02,1725,weekday
00,2012-10-02,1730,weekday
00,2012-10-02,1735,weekday
00,2012-10-02,1740,weekday
00,2012-10-02,1745,weekday
00,2012-10-02,1750,weekday
00,2012-10-02,1755,weekday
00,2012-10-02,1800,weekday
00,2012-10-02,1805,weekday
00,2012-10-02,1810,weekday
00,2012-10-02,1815,weekday
00,2012-10-02,1820,weekday
00,2012-10-02,1825,weekday
00,2012-10-02,1830,weekday
00,2012-10-02,1835,weekday
00,2012-10-02,1840,weekday
00,2012-10-02,1845,weekday
00,2012-10-02,1850,weekday
00,2012-10-02,1855,weekday
00,2012-10-02,1900,weekday
00,2012-10-02,1905,weekday
00,2012-10-02,1910,weekday
00,2012-10-02,1915,weekday
00,2012-10-02,1920,weekday
00,2012-10-02,1925,weekday
00,2012-10-02,1930,weekday
00,2012-10-02,1935,weekday
00,2012-10-02,1940,weekday
00,2012-10-02,1945,weekday
00,2012-10-02,1950,weekday
00,2012-10-02,1955,weekday
00,2012-10-02,2000,weekday
00,2012-10-02,2005,weekday
00,2012-10-02,2010,weekday
00,2012-10-02,2015,weekday
00,2012-10-02,2020,weekday
00,2012-10-02,2025,weekday
00,2012-10-02,2030,weekday
00,2012-10-02,2035,weekday
00,2012-10-02,2040,weekday
00,2012-10-02,2045,weekday
00,2012-10-02,2050,weekday
00,2012-10-02,2055,weekday
00,2012-10-02,2100,weekday
00,2012-10-02,2105,weekday
00,2012-10-02,2110,weekday
00,2012-10-02,2115,weekday
00,2012-10-02,2120,weekday
00,2012-10-02,2125,weekday
00,2012-10-02,2130,weekday
00,2012-10-02,2135,weekday
00,2012-10-02,2140,weekday
00,2012-10-02,2145,weekday
00,2012-10-02,2150,weekday
00,2012-10-02,2155,weekday
00,2012-10-02,2200,weekday
00,2012-10-02,2205,weekday
117117,2012-10-02,2210,weekday
99,2012-10-02,2215,weekday
00,2012-10-02,2220,weekday
00,2012-10-02,2225,weekday
00,2012-10-02,2230,weekday
00,2012-10-02,2235,weekday
00,2012-10-02,2240,weekday
00,2012-10-02,2245,weekday
00,2012-10-02,2250,weekday
00,2012-10-02,2255,weekday
00,2012-10-02,2300,weekday
00,2012-10-02,2305,weekday
00,2012-10-02,2310,weekday
00,2012-10-02,2315,weekday
00,2012-10-02,2320,weekday
00,2012-10-02,2325,weekday
00,2012-10-02,2330,weekday
00,2012-10-02,2335,weekday
00,2012-10-02,2340,weekday
00,2012-10-02,2345,weekday
00,2012-10-02,2350,weekday
00,2012-10-02,2355,weekday
00,2012-10-03,0,weekday
00,2012-10-03,5,weekday
00,2012-10-03,10,weekday
00,2012-10-03,15,weekday
00,2012-10-03,20,weekday
00,2012-10-03,25,weekday
00,2012-10-03,30,weekday
00,2012-10-03,35,weekday
00,2012-10-03,40,weekday
00,2012-10-03,45,weekday
00,2012-10-03,50,weekday
00,2012-10-03,55,weekday
00,2012-10-03,100,weekday
00,2012-10-03,105,weekday
00,2012-10-03,110,weekday
00,2012-10-03,115,weekday
00,2012-10-03,120,weekday
00,2012-10-03,125,weekday
00,2012-10-03,130,weekday
00,2012-10-03,135,weekday
00,2012-10-03,140,weekday
00,2012-10-03,145,weekday
00,2012-10-03,150,weekday
00,2012-10-03,155,weekday
00,2012-10-03,200,weekday
00,2012-10-03,205,weekday
00,2012-10-03,210,weekday
00,2012-10-03,215,weekday
00,2012-10-03,220,weekday
00,2012-10-03,225,weekday
00,2012-10-03,230,weekday
00,2012-10-03,235,weekday
00,2012-10-03,240,weekday
00,2012-10-03,245,weekday
00,2012-10-03,250,weekday
00,2012-10-03,255,weekday
00,2012-10-03,300,weekday
00,2012-10-03,305,weekday
00,2012-10-03,310,weekday
00,2012-10-03,315,weekday
00,2012-10-03,320,weekday
00,2012-10-03,325,weekday
00,2012-10-03,330,weekday
00,2012-10-03,335,weekday
00,2012-10-03,340,weekday
00,2012-10-03,345,weekday
00,2012-10-03,350,weekday
00,2012-10-03,355,weekday
00,2012-10-03,400,weekday
00,2012-10-03,405,weekday
44,2012-10-03,410,weekday
00,2012-10-03,415,weekday
00,2012-10-03,420,weekday
00,2012-10-03,425,weekday
3636,2012-10-03,430,weekday
00,2012-10-03,435,weekday
00,2012-10-03,440,weekday
00,2012-10-03,445,weekday
00,2012-10-03,450,weekday
00,2012-10-03,455,weekday
00,2012-10-03,500,weekday
00,2012-10-03,505,weekday
00,2012-10-03,510,weekday
00,2012-10-03,515,weekday
00,2012-10-03,520,weekday
00,2012-10-03,525,weekday
00,2012-10-03,530,weekday
2525,2012-10-03,535,weekday
00,2012-10-03,540,weekday
00,2012-10-03,545,weekday
9090,2012-10-03,550,weekday
411411,2012-10-03,555,weekday
413413,2012-10-03,600,weekday
415415,2012-10-03,605,weekday
519519,2012-10-03,610,weekday
529529,2012-10-03,615,weekday
613613,2012-10-03,620,weekday
562562,2012-10-03,625,weekday
612612,2012-10-03,630,weekday
534534,2012-10-03,635,weekday
323323,2012-10-03,640,weekday
600600,2012-10-03,645,weekday
533533,2012-10-03,650,weekday
251251,2012-10-03,655,weekday
5656,2012-10-03,700,weekday
00,2012-10-03,705,weekday
3232,2012-10-03,710,weekday
8080,2012-10-03,715,weekday
1010,2012-10-03,720,weekday
99,2012-10-03,725,weekday
145145,2012-10-03,730,weekday
4646,2012-10-03,735,weekday
00,2012-10-03,740,weekday
4444,2012-10-03,745,weekday
126126,2012-10-03,750,weekday
4242,2012-10-03,755,weekday
138138,2012-10-03,800,weekday
5353,2012-10-03,805,weekday
00,2012-10-03,810,weekday
00,2012-10-03,815,weekday
2222,2012-10-03,820,weekday
5757,2012-10-03,825,weekday
161161,2012-10-03,830,weekday
1919,2012-10-03,835,weekday
1515,2012-10-03,840,weekday
00,2012-10-03,845,weekday
1616,2012-10-03,850,weekday
00,2012-10-03,855,weekday
00,2012-10-03,900,weekday
88,2012-10-03,905,weekday
00,2012-10-03,910,weekday
5151,2012-10-03,915,weekday
516516,2012-10-03,920,weekday
245245,2012-10-03,925,weekday
00,2012-10-03,930,weekday
161161,2012-10-03,935,weekday
77,2012-10-03,940,weekday
00,2012-10-03,945,weekday
00,2012-10-03,950,weekday
00,2012-10-03,955,weekday
00,2012-10-03,1000,weekday
00,2012-10-03,1005,weekday
00,2012-10-03,1010,weekday
00,2012-10-03,1015,weekday
00,2012-10-03,1020,weekday
00,2012-10-03,1025,weekday
00,2012-10-03,1030,weekday
00,2012-10-03,1035,weekday
00,2012-10-03,1040,weekday
00,2012-10-03,1045,weekday
00,2012-10-03,1050,weekday
00,2012-10-03,1055,weekday
00,2012-10-03,1100,weekday
00,2012-10-03,1105,weekday
00,2012-10-03,1110,weekday
00,2012-10-03,1115,weekday
00,2012-10-03,1120,weekday
00,2012-10-03,1125,weekday
00,2012-10-03,1130,weekday
7272,2012-10-03,1135,weekday
7373,2012-10-03,1140,weekday
00,2012-10-03,1145,weekday
00,2012-10-03,1150,weekday
116116,2012-10-03,1155,weekday
9797,2012-10-03,1200,weekday
00,2012-10-03,1205,weekday
00,2012-10-03,1210,weekday
00,2012-10-03,1215,weekday
00,2012-10-03,1220,weekday
00,2012-10-03,1225,weekday
1515,2012-10-03,1230,weekday
00,2012-10-03,1235,weekday
00,2012-10-03,1240,weekday
00,2012-10-03,1245,weekday
00,2012-10-03,1250,weekday
00,2012-10-03,1255,weekday
8080,2012-10-03,1300,weekday
6969,2012-10-03,1305,weekday
00,2012-10-03,1310,weekday
00,2012-10-03,1315,weekday
00,2012-10-03,1320,weekday
00,2012-10-03,1325,weekday
00,2012-10-03,1330,weekday
00,2012-10-03,1335,weekday
00,2012-10-03,1340,weekday
9999,2012-10-03,1345,weekday
100100,2012-10-03,1350,weekday
00,2012-10-03,1355,weekday
00,2012-10-03,1400,weekday
3333,2012-10-03,1405,weekday
00,2012-10-03,1410,weekday
00,2012-10-03,1415,weekday
77,2012-10-03,1420,weekday
00,2012-10-03,1425,weekday
00,2012-10-03,1430,weekday
00,2012-10-03,1435,weekday
00,2012-10-03,1440,weekday
00,2012-10-03,1445,weekday
00,2012-10-03,1450,weekday
00,2012-10-03,1455,weekday
00,2012-10-03,1500,weekday
00,2012-10-03,1505,weekday
00,2012-10-03,1510,weekday
00,2012-10-03,1515,weekday
00,2012-10-03,1520,weekday
00,2012-10-03,1525,weekday
00,2012-10-03,1530,weekday
00,2012-10-03,1535,weekday
00,2012-10-03,1540,weekday
8888,2012-10-03,1545,weekday
154154,2012-10-03,1550,weekday
00,2012-10-03,1555,weekday
2020,2012-10-03,1600,weekday
00,2012-10-03,1605,weekday
00,2012-10-03,1610,weekday
00,2012-10-03,1615,weekday
00,2012-10-03,1620,weekday
00,2012-10-03,1625,weekday
00,2012-10-03,1630,weekday
00,2012-10-03,1635,weekday
00,2012-10-03,1640,weekday
00,2012-10-03,1645,weekday
00,2012-10-03,1650,weekday
00,2012-10-03,1655,weekday
00,2012-10-03,1700,weekday
00,2012-10-03,1705,weekday
198198,2012-10-03,1710,weekday
6161,2012-10-03,1715,weekday
7575,2012-10-03,1720,weekday
00,2012-10-03,1725,weekday
00,2012-10-03,1730,weekday
193193,2012-10-03,1735,weekday
298298,2012-10-03,1740,weekday
00,2012-10-03,1745,weekday
1515,2012-10-03,1750,weekday
2121,2012-10-03,1755,weekday
00,2012-10-03,1800,weekday
00,2012-10-03,1805,weekday
00,2012-10-03,1810,weekday
00,2012-10-03,1815,weekday
5151,2012-10-03,1820,weekday
3636,2012-10-03,1825,weekday
00,2012-10-03,1830,weekday
2626,2012-10-03,1835,weekday
2222,2012-10-03,1840,weekday
00,2012-10-03,1845,weekday
3939,2012-10-03,1850,weekday
5252,2012-10-03,1855,weekday
1515,2012-10-03,1900,weekday
4141,2012-10-03,1905,weekday
00,2012-10-03,1910,weekday
4242,2012-10-03,1915,weekday
00,2012-10-03,1920,weekday
00,2012-10-03,1925,weekday
159159,2012-10-03,1930,weekday
3232,2012-10-03,1935,weekday
00,2012-10-03,1940,weekday
00,2012-10-03,1945,weekday
00,2012-10-03,1950,weekday
00,2012-10-03,1955,weekday
3434,2012-10-03,2000,weekday
00,2012-10-03,2005,weekday
00,2012-10-03,2010,weekday
00,2012-10-03,2015,weekday
00,2012-10-03,2020,weekday
3636,2012-10-03,2025,weekday
7373,2012-10-03,2030,weekday
99,2012-10-03,2035,weekday
00,2012-10-03,2040,weekday
00,2012-10-03,2045,weekday
00,2012-10-03,2050,weekday
00,2012-10-03,2055,weekday
00,2012-10-03,2100,weekday
00,2012-10-03,2105,weekday
00,2012-10-03,2110,weekday
00,2012-10-03,2115,weekday
00,2012-10-03,2120,weekday
00,2012-10-03,2125,weekday
9090,2012-10-03,2130,weekday
128128,2012-10-03,2135,weekday
4646,2012-10-03,2140,weekday
00,2012-10-03,2145,weekday
00,2012-10-03,2150,weekday
00,2012-10-03,2155,weekday
00,2012-10-03,2200,weekday
00,2012-10-03,2205,weekday
00,2012-10-03,2210,weekday
00,2012-10-03,2215,weekday
00,2012-10-03,2220,weekday
00,2012-10-03,2225,weekday
00,2012-10-03,2230,weekday
00,2012-10-03,2235,weekday
00,2012-10-03,2240,weekday
00,2012-10-03,2245,weekday
00,2012-10-03,2250,weekday
00,2012-10-03,2255,weekday
00,2012-10-03,2300,weekday
00,2012-10-03,2305,weekday
00,2012-10-03,2310,weekday
00,2012-10-03,2315,weekday
00,2012-10-03,2320,weekday
00,2012-10-03,2325,weekday
00,2012-10-03,2330,weekday
00,2012-10-03,2335,weekday
00,2012-10-03,2340,weekday
88,2012-10-03,2345,weekday
00,2012-10-03,2350,weekday
00,2012-10-03,2355,weekday
4747,2012-10-04,0,weekday
00,2012-10-04,5,weekday
00,2012-10-04,10,weekday
00,2012-10-04,15,weekday
00,2012-10-04,20,weekday
00,2012-10-04,25,weekday
00,2012-10-04,30,weekday
00,2012-10-04,35,weekday
00,2012-10-04,40,weekday
00,2012-10-04,45,weekday
00,2012-10-04,50,weekday
00,2012-10-04,55,weekday
00,2012-10-04,100,weekday
00,2012-10-04,105,weekday
00,2012-10-04,110,weekday
00,2012-10-04,115,weekday
00,2012-10-04,120,weekday
00,2012-10-04,125,weekday
00,2012-10-04,130,weekday
00,2012-10-04,135,weekday
00,2012-10-04,140,weekday
00,2012-10-04,145,weekday
00,2012-10-04,150,weekday
00,2012-10-04,155,weekday
00,2012-10-04,200,weekday
00,2012-10-04,205,weekday
00,2012-10-04,210,weekday
00,2012-10-04,215,weekday
00,2012-10-04,220,weekday
